指図のMRP管理者	製造指図/ネットワーク	指図の品目テキスト	計画開始	計画終了	明細カテゴリ	MRP管理者	品目コード	品目テキスト	出庫完了	所要量	出庫済み	所要残（不足数）	出庫保管場所在庫	プラント在庫数量	出庫保管場所	棚番	購買グループテキスト	仕入先コード	仕入先名称	購買依頼	購買発注量	購買発注登録日	指定納期	回答納期	入庫日付	購買伝票	常備の購買発注	MRPタイプ	WBS要素	親WBS要素	親ネットワーク番号	不足品目	利用可能数量
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	E00A5228700	絶縁シート　材PET		           50.000	            0.000	           50.000	           69.000	           69.000	1210	B6001	武村　靖彦	S01930	（株）富士パッキング工業所		            0.000	2025/07/01	2025/08/25	2025/08/25	0000/00/00		4502410510	PD				X	           39.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	E00A5228800	絶縁シート　材PET		           40.000	            0.000	           40.000	          110.000	          110.000	1210	B6002	武村　靖彦				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					           40.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	N00A1861400	警告銘板(接地 英) 材PP		           10.000	            0.000	           10.000	          669.000	          669.000	1210	B6003	谷口　真知子				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					           10.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	N5A508801	SanRex Red H11		           10.000	            0.000	           10.000	          302.000	          302.000	1210	B6003	谷口　真知子				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					           10.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	44922212100	DB-25-F-BR ｲﾛRED IF 10MA VF 1*		           10.000	            0.000	           10.000	           36.000	           36.000	1210	B6005	高間　奈穂	C01827	（株）三社電機製作所　滋賀工場		            0.000	2025/07/30	2025/10/02	0000/00/00	0000/00/00		4502416798	PD					           10.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	53692304500	GRT-70V0 66ﾅｲﾛﾝ UL94V-0		           20.000	            0.000	           20.000	           31.000	          331.000	1210	B6005	高間　奈穂	S00011	岡本無線電機（株）		            0.000	2025/06/11	2025/09/03	0000/00/00	0000/00/00		4502406476	PD				X	           11.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	53692304800	HC-6U ﾊｰﾈｽｸﾘｯﾌﾟ ﾅｲｹｲ7.4MM ﾅｲﾛ*		           60.000	            0.000	           60.000	           12.000	           12.000	1210	B6005	谷口　真知子	S00703	品川商工（株）大阪（営）		            0.000	2025/08/08	2025/10/27	0000/00/00	0000/00/00		4502418934	PD				X	            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	53692002000	ﾌﾟﾂｼﾕﾘﾍﾞﾂﾄ P4050B		           20.000	            0.000	           20.000	          236.000	          236.000	1210	B8004	谷口　真知子				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					           20.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	53602038400	BSF-306E  ｽﾁ-ﾙｽﾍﾟ-ｻ(6ｶｸ) ﾖﾋﾞM*		          100.000	            0.000	          100.000	            9.000	            9.000	1210	B8007	谷口　真知子	S00703	品川商工（株）大阪（営）		            0.000	2025/07/29	2025/10/24	2025/10/24	0000/00/00		4502416604	PD				X	            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	53602040100	BSF-340E  ｽﾁ-ﾙｽﾍﾟ-ｻ(6ｶｸ) ﾖﾋﾞM*		           40.000	            0.000	           40.000	           90.000	           90.000	1210	B8007	谷口　真知子				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					           40.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	42421536600	ECWH10823JV DC1000V 0.082MF +*		          160.000	            0.000	          160.000	          380.000	          380.000	1122	E0336	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					          160.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	40306183300	MOSX5C6R8J 5W 6.8Ω ±5%		          320.000	            0.000	          320.000	          409.000	         3909.000	1122	E0444	高間　奈穂	S00689	（株）オリナス		            0.000	2025/08/05	2025/09/24	2025/09/24	0000/00/00		4502417984	PD				X	          211.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	11001216200	Eｶﾞﾀ 2000A 60MV ML3438B		           10.000	            0.000	           10.000	           19.000	           19.000	1210	P1	谷口　真知子	S00098	東洋計器（株）		            0.000	2025/06/11	2025/08/25	2025/08/25	0000/00/00		4502406491	PD					           10.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	26031544600	F2011NS-8P-PCT 8P AC250V 10A *		           10.000	            0.000	           10.000	           14.000	           14.000	1210	P1	高間　奈穂	S00291	旭テック（株）		            0.000	2025/06/11	2025/08/25	2025/09/02	0000/00/00		4502406506	PD				X	            4.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	333111116	109-019C ﾌｲﾝｶﾞｰｶﾞｰﾄﾞ		           30.000	            0.000	           30.000	          131.000	          131.000	1210	P1	生島　武	S00983	（株）電子技販		            0.000	2025/07/29	2025/10/24	2025/10/24	0000/00/00		4502416626	PD				X	            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	33311387900	AFB1224EHEBFR DC24V 20.40*D0A*		           30.000	            0.000	           30.000	          195.000	          195.000	1210	P1	高間　奈穂	S50024	SANREX LIMITED		            0.000	2025/05/08	2025/07/02	2025/08/27	0000/00/00		4502399618	PD					           30.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	E00A5307800	放熱ｼｰﾄW182XH38  材Si		           40.000	            0.000	           40.000	          150.000	          150.000	1210	P1	高間　奈穂				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					           40.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	E00B0846600	2次側ﾋｰﾄｼﾝｸ  材A6063		           40.000	            0.000	           40.000	           74.000	           74.000	1210	P1	海外	S50033	SANSHA ELECTRIC MFG.(GUANGDONG) CO.		            0.000	2025/07/29	2025/10/24	0000/00/00	0000/00/00		4502416719	PD					           40.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	E00B0907800	1次側ﾋｰﾄｼﾝｸ  材A6063		           20.000	            0.000	           20.000	           62.000	           62.000	1210	P1	海外	S50033	SANSHA ELECTRIC MFG.(GUANGDONG) CO.		            0.000	2025/06/11	2025/08/25	2025/08/25	0000/00/00		4502406740	PD					           20.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	E00B0942600	1次側ﾋｰﾄｼﾝｸ  材A6063		           10.000	            0.000	           10.000	            0.000	            0.000	1210	P1	川崎　喜之	S01979	（株）ＮＥＸＵＳ		            0.000	2025/08/08	2025/09/08	0000/00/00	0000/00/00		4502419106	PD				X	            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	40177106500	GZG200W100ｵｰﾑ(ROHS) 200W 100ｵｰﾑ ROHSﾀｲｵｳ		           10.000	            0.000	           10.000	          153.000	          166.000	1210	P2	芦田	S01065	日本抵抗器販売（株）		            0.000	2025/07/25	2025/11/05	2025/11/05	0000/00/00		4502415891	PD					           10.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	453C40160	DFA200AA160 R		           10.000	            0.000	           10.000	           24.000	           24.000	1210	P2	外注				            0.000	2025/06/11	2025/10/15	2025/10/15	0000/00/00		4502406753	PD					           10.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	456C60005	BKR400ABZ50 R		           80.000	            0.000	           80.000	          301.000	          301.000	1210	P2	外注				            0.000	2025/07/29	2025/12/17	2025/12/17	0000/00/00		4502416747	PD					           80.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	46965225000	PTP-46F-S1 20kΩ/25℃ B=395*D0A*		           40.000	            0.000	           40.000	         2997.000	         4507.000	1210	P2	高間　奈穂	S01561	明治電機工業（株）大阪（営）		            0.000	2025/07/12	2025/10/16	2025/10/29	0000/00/00		4502413500	PD					           40.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	50909014800	C-300-EG-10-10 2M ﾊﾟｯｷﾝ		           10.000	            0.000	           10.000	            7.000	          957.000	1210	P2	岡本　浩	S00836	タキゲン製造（株）		            0.000	2025/07/19	2025/10/08	2025/10/08	0000/00/00		4502414832	PD				X	            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	50909014900	C-300-EG-5-10 ｼｰﾘﾝｸﾞﾊﾟｯｷﾝ ｺﾞｳ*		           13.000	            0.000	           13.000	            5.000	            5.000	1210	P2	岡本　浩	S00836	タキゲン製造（株）		            0.000	2025/07/17	2025/09/24	2025/09/24	0000/00/00		4502414245	PD				X	            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	53634134400	S-20-5 ｾﾞﾂｴﾝｻﾎﾟｰﾄ M   5 ﾄﾞｳﾅｶ*		          110.000	            0.000	          110.000	          202.000	          202.000	1210	P2	谷口　真知子	S00685	篠原電機（株）		            0.000	2025/07/26	2025/10/09	2025/10/09	0000/00/00		4502416232	PD				X	           76.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	E00A1436600	スリーブ付グロメット		           30.000	            0.000	           30.000	           95.000	           95.000	1210	P2	海外	S50033	SANSHA ELECTRIC MFG.(GUANGDONG) CO.		            0.000	2025/07/29	2025/10/24	0000/00/00	0000/00/00		4502416720	PD					           30.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	900	F2A503001	CT 1:40 ROHS		           40.000	            0.000	           40.000	         1654.000	         1782.000	1210	P2	海外				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD					           40.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	BB0	F00A0831700	MRT-EC FCH 30kW(200V)		           10.000	            0.000	           10.000	            0.000	            0.000	1210	内製1013					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	CF0	E00A5721900	ﾌﾞｽﾊﾞｰ構成表 MRT-10020C		           10.000	            0.000	           10.000	            0.000	            0.000	1210	内製1014					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	L	CC0	J00A6266100	ｹｰｽ構成 MRT-10020C		           10.000	            0.000	           10.000	            0.000	            0.000	1210	内製1014					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	N	900	25305658600	BW250EAG-3P125 3P-AC690V 250A*		           10.000	            0.000	           10.000	            0.000	            0.000	1210		田中	S00086	宝永電機（株）	0012712000	           10.000	2025/06/11	2025/08/25	2025/08/25	0000/00/00	4502406482		PD					            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	N	900	50909215400	C-300-EG-3-10 2M ﾊﾟｯｷﾝ		           19.000	            0.000	           19.000	            0.000	            0.000	1210		岡本　浩	S00836	タキゲン製造（株）	0012712001	           19.000	2025/06/11	2025/08/25	2025/08/25	0000/00/00	4502406597		PD					            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	N	900	53602038600	BSF-309E  ｽﾁ-ﾙｽﾍﾟ-ｻ(6ｶｸ) ﾖﾋﾞM*		           70.000	            0.000	           70.000	            0.000	            0.000	1210		谷口　真知子	S00703	品川商工（株）大阪（営）	0012712002	           70.000	2025/06/11	2025/08/25	2025/08/25	0000/00/00	4502406564		PD					            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	N	900	53631215900	C30SG28A ﾏｸﾂｷｸﾞﾛﾒﾂﾄ		           20.000	            0.000	           20.000	            0.000	          200.000	1210		岡本　浩	S00836	タキゲン製造（株）	0012712003	           20.000	2025/06/11	2025/08/25	2025/08/25	0000/00/00	4502406598		PD					            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	N	900	68010095900	J00A6266100塗装 J00A6266100 N-3*		           10.000	            0.000	           10.000	            0.000	            0.000	1210		武村　靖彦	S00715	シンコー（株）	0012712004	           10.000	2025/06/11	2025/08/25	0000/00/00	0000/00/00	4502406570		PD					            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	N	900	E00A0723200	ﾎﾟｽﾄ  M6XH22		           10.000	            0.000	           10.000	            0.000	            0.000	1210		武村　靖彦	S00083	吉川金属製作所	0012712005	           10.000	2025/06/11	2025/08/25	2025/08/25	0000/00/00	4502406480		PD					            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	N	900	E00A5528300	MRT-C ﾒｲﾝﾊｰﾈｽ(20kW,200V)		           10.000	            0.000	           10.000	            0.000	            0.000	1210		谷口　真知子	S01400	松田電興（株）	0012712006	           10.000	2025/06/11	2025/08/25	2025/08/25	0000/00/00	4502406649		PD					            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	N	900	E00A5776800	端子板 材PL-PEM		           10.000	            0.000	           10.000	            0.000	            0.000	1210		武村　靖彦	S01414	（株）松本製作所	0012712007	           10.000	2025/06/10	2025/08/26	2025/08/26	0000/00/00	4502406442		PD					            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	N	900	E00B0918300	MRT-C 20kW 補助ハーネス		           10.000	            0.000	           10.000	            0.000	            0.000	1210		谷口　真知子	S01499	（株）ミトヨ電機	0012712008	           10.000	2025/06/11	2025/08/25	2025/08/25	0000/00/00	4502406668		PD					            0.000
B10	10133344	MRT-10020C        STD	2025/09/09	2025/09/22	N	900	F00A0813001	MRT-C MT 5kW(10V)		           40.000	            0.000	           40.000	            0.000	            0.000	1210		海外	S50033	SANSHA ELECTRIC MFG.(GUANGDONG) CO.	0012712009	           40.000	2025/06/11	2025/08/25	2025/08/25	0000/00/00	4502406738		PD					            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	CD0	64029294600	ﾎｼﾞｮﾊｰﾈｽPC3-F150V6F8-L-E		            3.000	            0.000	            3.000	            0.000	            0.000	1210						            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	54999003801	ｽｰﾊﾟｰｼｰﾙ 10X10X2438 B440(100)		            3.000	            0.000	            3.000	          288.000	          288.000	1213	1160	生島　武	S01037	中尾貿易（株）		            0.000	2025/08/01	2025/09/17	2025/09/17	0000/00/00		4502417445	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	PC1	P00A0802200	IK-8022 3PH GATE MOTHER		            3.000	            0.000	            3.000	           10.000	           10.000	1120	3112(大箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	PC1	P00A0800900	IK-8009		           18.000	            0.000	           18.000	           40.000	           40.000	1120	3121(小箱)					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			P3				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	26031230100	F2050E 4P 4P 660V 30A ﾀｲｱﾂ3000V/M ROHSﾀｲ		            3.000	            0.000	            3.000	           72.000	           72.000	1210	B1001	高間　奈穂	S00091	東亜無線電機（株）		            0.000	2025/07/05	2025/11/18	2025/11/18	0000/00/00		4502411545	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	34811147900	OHD3-95M ON 95ﾟC ﾄﾞｳｻON ｾﾂﾃﾝ0*		            9.000	            0.000	            9.000	          313.000	          313.000	1210	B1001	高間　奈穂	S00129	ソレキア（株）		            0.000	2025/03/26	2025/10/03	2025/10/03	0000/00/00		4502391571	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	35021012600	PBA50F-15N DC  15V DC 3.5A 50*		            3.000	            0.000	            3.000	           16.000	           16.000	1210	B1001	田中	S00086	宝永電機（株）		            0.000	2025/07/08	2025/11/14	2025/11/14	0000/00/00		4502412182	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	53631214700	C30SG16A ﾏｸﾂｷｸﾞﾛﾒﾂﾄ		            3.000	            0.000	            3.000	          201.000	          401.000	1210	B1001	岡本　浩	S00836	タキゲン製造（株）		            0.000	2025/05/19	2025/09/08	2025/09/08	0000/00/00		4502401410	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	600031117	FR-PETﾌﾞﾂｼﾝｸﾞ    50Aｵﾝ		           36.000	            0.000	           36.000	         6387.000	         6387.000	1210	B1001	武村　靖彦				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	53692118900	EH18U ｴﾂｼﾞﾎﾙﾀﾞ ﾅｲｹｲ 18MM 66ﾅｲ*		            3.000	            0.000	            3.000	          473.000	          473.000	1210	B2101	谷口　真知子	S00703	品川商工（株）大阪（営）		            0.000	2025/07/19	2025/09/22	2025/09/22	0000/00/00		4502414793	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	53634139600	S-25-UB-RO ｾﾞﾂｴﾝｻﾎﾟｰﾄ M   6 ﾄﾞｳﾅｶﾞｻ 25M		           39.000	            0.000	           39.000	          288.000	          288.000	1210	B2102	谷口　真知子	S00685	篠原電機（株）		            0.000	2025/08/08	2025/08/25	0000/00/00	0000/00/00		4502418922	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	50999005600	AS26B ﾛｰﾗｰ D=26MM ｽﾁ-ﾙ		            6.000	            0.000	            6.000	           39.000	           39.000	1210	B4001	武村　靖彦	S00174	小松機工（株）		            0.000	2025/08/02	2025/08/18	2025/08/18	0000/00/00		4502417730	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	53692121800	LWS-2U ﾜｲﾔｰｻﾄﾞﾙ 11X18.5MM 66ﾅ*		           15.000	            0.000	           15.000	         1399.000	         1599.000	1210	B4001	谷口　真知子	S00703	品川商工（株）大阪（営）		            0.000	2025/07/19	2025/09/24	2025/09/24	0000/00/00		4502414794	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	53692230000	TB300B MAX  2MM ﾄﾘﾂｹｱﾅ5.2*D0A*		           12.000	            0.000	           12.000	         2937.000	         3737.000	1210	B4001	谷口　真知子	S00703	品川商工（株）大阪（営）		            0.000	2025/07/01	2025/09/22	2025/09/22	0000/00/00		4502410431	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	50001113000	A1042C6 ｻﾞｲｼﾂSUS304 ｶｼﾞﾕｳ45KG*		            6.000	            0.000	            6.000	          103.000	          103.000	1210	B4002	岡本　浩	S00836	タキゲン製造（株）		            0.000	2025/08/07	2025/08/25	2025/08/25	0000/00/00		4502418573	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	53602059800	BSB-508E ﾖﾋﾞM5 ｶﾞｲｹｲ 8.0MM ﾀｶｻ   8MM C36		           36.000	            0.000	           36.000	           44.000	           44.000	1210	B4002	谷口　真知子	S00703	品川商工（株）大阪（営）		            0.000	2025/07/17	2025/08/25	2025/08/25	0000/00/00		4502414217	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	53692032100	ｺ-ﾁﾝｸﾞｸﾘﾂﾌﾟ CS-7U-34 SS-107UF*		           24.000	            0.000	           24.000	          403.000	          403.000	1210	B4002	谷口　真知子	S00703	品川商工（株）大阪（営）		            0.000	2025/08/02	2025/10/16	2025/10/16	0000/00/00		4502417756	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	53670001200	PS4B-10 六角ｽﾍﾟｰｻｰ 10 ﾀｲﾍﾝ7 PPS*		           12.000	            0.000	           12.000	           60.000	           60.000	1210	B4004	谷口　真知子				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	606024220	ｶﾇ-ｸﾘﾂﾌﾟ  ﾆﾌｺ  #74  ﾅﾁﾕﾗﾙ		           12.000	            0.000	           12.000	         5130.000	         6130.000	1210	B4004	谷口　真知子	S00387	（株）英和商会		            0.000	2025/07/19	2025/09/22	2025/09/22	0000/00/00		4502414759	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	53613554500	OCB-625 2.3mm φ15.9 66ﾅｲﾛﾝ 1*		            3.000	            0.000	            3.000	           60.000	           60.000	1210	B6001	谷口　真知子	S00780	杉本商事（株）		            0.000	2025/08/01	2025/08/25	0000/00/00	0000/00/00		4502417432	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	53692231000	TA310B MAX  2MM ﾄﾘﾂｹｱﾅ5.2*D0A*		           12.000	            0.000	           12.000	          294.000	          594.000	1210	B6002	谷口　真知子	C01827	（株）三社電機製作所　滋賀工場		            0.000	2025/07/30	2025/10/02	0000/00/00	0000/00/00		4502416805	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	E8A624500	E8A624500 ﾄﾋﾞﾗﾋﾟﾝ		            6.000	            0.000	            6.000	           93.000	           93.000	1210	B6004	海外	S50070	東信電気（深セン）有限公司		            0.000	2025/07/23	2025/11/06	2025/11/06	0000/00/00		4502415238	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	53007174200	(+)B0ﾅﾍﾞ 2.6*10 3W ﾃﾂ ROH (+)*		           72.000	            0.000	           72.000	         2784.000	         2784.000	1210	B6006	谷口　真知子				            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	33412007700	MRS18-DUL-F13 1ｿｳ 200V 50/60H*		            9.000	            0.000	            9.000	           34.000	           68.000	1210	P1	岡本　浩	S00068	オリエンタルモーター（株）		            0.000	2025/08/07	2025/09/19	2025/09/19	0000/00/00		4502418466	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	40173110300	GZG80W10Kｵｰﾑ 80W 10Kｵｰﾑ ﾊﾞﾝﾄﾞ*		           12.000	            0.000	           12.000	          199.000	          199.000	1210	P1	芦田	S01065	日本抵抗器販売（株）		            0.000	2025/08/01	2025/11/18	2025/11/18	0000/00/00		4502417450	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	42111220300	ECST451LGN103MFN0U DC 450V 10*		           36.000	            0.000	           36.000	          274.000	          330.000	1210	P1	生島　武	S00983	（株）電子技販		            0.000	2025/07/23	2025/11/18	0000/00/00	0000/00/00		4502415169	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	43430005700	2MBI1000XRNE120-50 1200V ±20V*		           18.000	            0.000	           18.000	          638.000	          638.000	1210	P1	田中	S00086	宝永電機（株）		            0.000	2025/06/26	2026/01/26	0000/00/00	0000/00/00		4502409653	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	63200009600	ZCAT-3035-1330 ﾌｪﾗｲﾄ ﾅｲｹｲ13MM*		            3.000	            0.000	            3.000	          568.000	          703.000	1210	P1	高間　奈穂	S00492	神田電子工業（株）		            0.000	2025/05/29	2025/12/23	0000/00/00	0000/00/00		4502403948	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	E00B1007100	ヒートシンク		            9.000	            0.000	            9.000	           24.000	           24.000	1210	P1	川崎　喜之	S01742	カトーメタル（株）		            0.000	2025/05/22	2025/10/03	2025/10/03	0000/00/00		4502402390	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	EFA070500	ｼｼﾞﾎﾞｳ		           24.000	            0.000	           24.000	           66.000	           66.000	1210	P1	海外	S50070	東信電気（深セン）有限公司		            0.000	2025/07/23	2025/11/18	2025/11/18	0000/00/00		4502415239	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	42507910700	121MPC106KLVP922 1200VDC 10μF*		           36.000	            0.000	           36.000	          492.000	          492.000	1210	P2	田中	S00086	宝永電機（株）		            0.000	2025/07/08	2026/01/06	0000/00/00	0000/00/00		4502412209	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	900	J00A6916000	吊り耳		           12.000	            0.000	           12.000	          160.000	          160.000	1210	P2	武村　靖彦	S01880	（株）ノチダ		            0.000	2025/08/07	2025/08/25	2025/08/25	0000/00/00		4502418638	PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	CF0	E00A6214100	PC3-F150V6F8-*-E ﾌﾞｽﾊﾞｰ		            3.000	            0.000	            3.000	            0.000	            0.000	1210	内製1014					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	L	CC0	J00A6947600	PC3-F150V6F8-*-E ｹｰｽ		            3.000	            0.000	            3.000	            0.000	            0.000	1210	内製1014					            0.000	0000/00/00	0000/00/00	0000/00/00	0000/00/00			PD				X	            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	N	900	53602056600	BSB-406E ﾖﾋﾞM4 ｶﾞｲｹｲ   7M*D0A*		            6.000	            0.000	            6.000	            0.000	            0.000	1210		谷口　真知子	S00703	品川商工（株）大阪（営）	0012712012	            6.000	2025/06/11	2025/10/09	2025/10/09	0000/00/00	4502406565		PD					            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	N	900	53631216600	CP30HP8 ﾎｰﾙﾌﾟﾗｸﾞ ﾄﾘﾂｹ17.5		           12.000	            0.000	           12.000	            0.000	            0.000	1216		岡本　浩	S00836	タキゲン製造（株）	0012712013	           12.000	2025/06/11	2025/10/09	2025/10/09	0000/00/00	4502406599		PD					            0.000
B10	10133345	＆PC3-F150V6F8-L-E	2025/10/14	2025/10/29	N	900	E00A2336100	PCB絶縁ｼｰﾄ		            3.000	            0.000	            3.000	            0.000	            0.000	1210		武村　靖彦	S01414	（株）松本製作所	0012712014	            3.000	2025/06/11	2025/10/09	2025/10/09	0000/00/00	4502406655		PD					            0.000
